Производитель	Lenovo
Модель	V15
Артикул	82C70010RA
Серия (модельный ряд)	Lenovo V
Тип ноутбука	Для работы и учебы
Диагональ дисплея	15.6"
Разрешение	FullHD (1920 х 1080)
Поверхность экрана	Anti-Glare
Тип матрицы	TN+film
Процессор	AMD Ryzen 3 3250U (2.6-3.5GHz)
Количество ядер	2
Тип оперативной памяти	DDR4
Объем оперативной памяти	8 ГБ
Типы внутренних накопителей	SSD
Объем SSD	256 ГБ
Оптический привод	No ODD
Кардридер	Card-reader
Видеокарта	AMD Radeon Graphics
Веб-камера	WEB-Camera
Аудиосистема	High Definition Audio
Дополнительные возможности	стереодинамики, встроенный микрофон
Беспроводные технологии	Bluetooth, Wi-Fi
Интерфейсы и подключения	2 х USB 3.1, 1 х USB 2.0, HDMI, Комбинированный аудиоразъем
Операционная система	DOS
Емкость батареи	35 Втч
Безопасность	TPM модуль
Ширина	362.2 мм
Высота	19.9 мм
Глубина	251.5 мм
Вес	1.85 кг
Цвет	серый
Страна производства	Китай
Гарантия, мес	12
УКТВЭД	8471300000
